Date,Avg_Sentiment
2021-09-30,0.11610903243223826
2021-10-01,0.23622138671418455
2021-10-02,0.5146477674615795
2021-10-03,0.3452200572021672
2021-10-04,0.11666833127246183
2021-10-05,0.14445326274091547
2021-10-06,0.16402410696714353
2021-10-07,0.3437246225611137
2021-10-08,0.2078122615814209
2021-10-09,0.48677209197055726
2021-10-10,0.34615620787327106
2021-10-11,0.20067763485406576
2021-10-12,0.30494471969811815
2021-10-13,0.2154481404129116
2021-10-14,0.26278842247535134
2021-10-15,0.3026546980713455
2021-10-16,0.33288439866658803
2021-10-17,0.28417135987962994
2021-10-18,0.3791285821714917
2021-10-19,0.1559020522981882
2021-10-20,0.2666073600793707
2021-10-21,0.2637224750386344
2021-10-22,0.4425193737010042
2021-10-23,0.2995922461152077
2021-10-24,0.3000903831078456
2021-10-25,0.41156442682722433
2021-10-26,0.28263243870074006
2021-10-27,0.22252423631942878
2021-10-28,0.27912964510917665
2021-10-29,0.28490968513741066
2021-10-30,0.3440075755119324
2021-10-31,0.3934204337572811
2021-11-01,0.280081518308413
2021-11-02,0.13072997796826247
2021-11-03,0.26749840745559106
2021-11-04,0.2735132961065177
2021-11-05,0.3327912674861008
2021-11-06,0.20934146205219653
2021-11-07,0.12540636391475282
2021-11-08,0.14949079936001158
2021-11-09,0.11918577344263372
2021-11-10,0.10754042942687948
2021-11-11,0.19979295549013756
2021-11-12,0.1885519478210183
2021-11-13,0.2539418166962223
2021-11-14,0.17052233150635643
2021-11-15,0.09122077380584566
2021-11-16,0.11306109285169794
2021-11-17,0.273505473822619
2021-11-18,0.07710664020851254
2021-11-19,0.23863310857516964
2021-11-20,0.19750458822734113
2021-11-21,0.27883081634839374
2021-11-22,0.2533598251400455
2021-11-23,0.2131428408717352
2021-11-24,0.17711955096040452
2021-11-25,0.41340701990440243
2021-11-26,0.13560291816448344
2021-11-27,0.24670162353109806
2021-11-28,0.2655554440888492
2021-11-29,0.2522772817882066
2021-11-30,0.2445637285709381
2021-12-01,0.22062858446784642
2021-12-02,0.2750954170679224
2021-12-03,0.18035505852128705
2021-12-04,0.28521484180408363
2021-12-05,0.40401435503061267
2021-12-06,0.23750639350517935
2021-12-07,0.142185452426302
2021-12-08,0.27742329415153055
2021-12-09,0.06364416184826432
2021-12-10,0.23941773230876398
2021-12-11,0.21832386288844363
2021-12-12,0.1985737681388855
2021-12-13,0.29398703958952066
2021-12-14,0.09356530245981719
2021-12-15,0.2964955702716229
2021-12-16,0.1340032687835526
2021-12-17,0.24521620848537545
2021-12-18,0.3207001972656984
2021-12-19,0.2513784406677125
2021-12-20,0.24488353583158232
2021-12-21,0.24813428491938347
2021-12-22,0.26580384355819153
2021-12-23,0.27306850235183516
2021-12-24,0.4499562583773969
2021-12-25,0.6836433876644481
2021-12-26,0.32099820961032
2021-12-27,0.42104630454860886
2021-12-28,0.30686336074556625
2021-12-29,0.2372869267435131
2021-12-30,0.10760580936098486
2021-12-31,0.27733377553522587
2022-01-01,0.28628730644350464
2022-01-02,0.3891210094768198
2022-01-03,0.3328614768842144
2022-01-04,0.1445894019944327
2022-01-05,0.15716064789078452
2022-01-06,0.2667886884803446
2022-01-07,0.13846890661451552
2022-01-08,0.1941656772094437
2022-01-09,0.16992313361593656
2022-01-10,0.2777642995119095
2022-01-11,0.2202826891470393
2022-01-12,0.24946596083186923
2022-01-13,0.07904548713794121
2022-01-14,0.25935495448258755
2022-01-15,0.22824543118476867
2022-01-16,0.06591025997812931
2022-01-17,0.280244414591127
2022-01-18,0.19485261313843005
2022-01-19,0.15768475432207088
2022-01-20,0.21637573293768442
2022-01-21,-0.007218226321838187
2022-01-22,0.28173904498418173
2022-01-23,0.2823262414971336
2022-01-24,0.18088931335908612
2022-01-25,0.1878159370771639
2022-01-26,0.28679197476168344
2022-01-27,0.06952015200042
2022-01-28,0.19650026215588984
2022-01-29,0.17045430500398984
2022-01-30,0.2239009761496594
2022-01-31,0.33219807066080226
2022-02-01,0.038544531715543645
2022-02-02,0.08532806020230055
2022-02-03,0.0456256628036499
2022-02-04,0.23006434352309615
2022-02-05,0.2564775582770227
2022-02-06,0.27862215638160703
2022-02-07,0.07392949332673866
2022-02-08,0.2832038475708528
2022-02-09,0.1443871732415824
2022-02-10,0.076171256163541
2022-02-11,0.13364867128507055
2022-02-12,0.25489357065769935
2022-02-13,0.1177911901473999
2022-02-14,0.17399900733378895
2022-02-15,0.2607560181482272
2022-02-16,0.1777332623799642
2022-02-17,0.06716048688280817
2022-02-18,0.22278271597974442
2022-02-19,0.20824780657484726
2022-02-20,0.23851032410898515
2022-02-21,0.09566127402441842
2022-02-22,0.14738456224932253
2022-02-23,0.04017862019600806
2022-02-24,-0.0021850463916670603
2022-02-25,0.21609222791234
2022-02-26,0.13912440610654425
2022-02-27,0.352404374215338
2022-02-28,0.2567511354256602
2022-03-01,0.3083650877601222
2022-03-02,0.13085663798211636
2022-03-03,0.08639225131935543
2022-03-04,0.1870693862438202
2022-03-05,0.14651228870664323
2022-03-06,0.3562202973693025
2022-03-07,0.18517296903190159
2022-03-08,0.08327901628938052
2022-03-09,0.25557517554870873
2022-03-10,0.15061700694701252
2022-03-11,0.08197325943632329
2022-03-12,0.2829248632522339
2022-03-13,0.34662486867206854
2022-03-14,0.12922563134355747
2022-03-15,0.11282949375383781
2022-03-16,0.1621993627490067
2022-03-17,0.15872542173774154
2022-03-18,0.3504524587131128
2022-03-19,0.4760808360342886
2022-03-20,0.2453779551115903
2022-03-21,0.24564035643230786
2022-03-22,0.37399311637112853
2022-03-23,0.3526458934296009
2022-03-24,0.23268380910158157
2022-03-25,0.3332408830523491
2022-03-26,0.23698175924547601
2022-03-27,0.04959410155306057
2022-03-28,0.24386636593512126
2022-03-29,0.24944553444686446
2022-03-30,0.21727790090502525
2022-03-31,0.3519296814566073
2022-04-01,0.2632633046766298
2022-04-02,0.373656466480129
2022-04-03,0.2061088185858082
2022-04-04,0.2957550896839662
2022-04-05,0.16517140423612936
2022-04-06,0.25335317477583885
2022-04-07,0.3176931231800053
2022-04-08,0.42894466536668324
2022-04-09,0.4832856488227844
2022-04-10,0.3845978235205015
2022-04-11,0.18443133280827448
2022-04-12,0.18506272834666232
2022-04-13,0.19434557101699743
2022-04-14,0.038761809052035794
2022-04-15,0.1945235442656737
2022-04-16,0.020250793603750376
2022-04-17,0.20679748897821132
2022-04-18,0.13587357479835224
2022-04-19,0.03750588783283824
2022-04-20,0.2511580743959972
2022-04-21,0.14280367534137467
2022-04-22,0.09188429854418102
2022-04-23,-0.06785748636021334
2022-04-24,0.03519333225407013
2022-04-25,0.18732549116397515
2022-04-26,0.04301395105876132
2022-04-27,0.0944625432413768
2022-04-28,0.14501704772313437
2022-04-29,0.1358956492275273
2022-04-30,0.21572659669383878
2022-05-01,0.07069101613579375
2022-05-02,0.15284567029730786
2022-05-03,0.2157206501759274
2022-05-04,0.12527696312742032
2022-05-05,0.010818582291554923
2022-05-06,0.2581413328166931
2022-05-07,0.19811410394807658
2022-05-08,0.12333728662177698
2022-05-09,0.12973717093467713
2022-05-10,0.1092216282674711
