Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Direction,Next_Day_Return,Avg_Sentiment,Sentiment_Category
2021-10-01,259.4666748046875,260.260009765625,254.52999877929688,258.4066772460937,258.4066772460937,51094200,-0.033528879108346565,Down,0.8139621398127517,0.2362213867141845,Positive
2021-10-04,265.5,268.989990234375,258.7066650390625,260.510009765625,260.510009765625,91449900,0.8139621398127517,Up,-0.1202850103416031,0.1166683312724618,Positive
2021-10-05,261.6000061035156,265.7699890136719,258.0666809082031,260.1966552734375,260.1966552734375,55297800,-0.1202850103416031,Down,0.27671424905384434,0.1444532627409154,Positive
2021-10-06,258.7333374023437,262.2200012207031,257.739990234375,260.9166564941406,260.9166564941406,43898400,0.27671424905384434,Up,1.3874260399496352,0.1640241069671435,Positive
2021-10-07,261.82000732421875,268.3333435058594,261.1266784667969,264.53668212890625,264.53668212890625,57587400,1.3874260399496352,Up,-1.0231834522373306,0.3437246225611137,Positive
2021-10-08,265.4033203125,265.4599914550781,260.3033447265625,261.8299865722656,261.8299865722656,50215800,-1.0231834522373306,Down,0.8211528565575943,0.2078122615814209,Positive
2021-10-11,262.54998779296875,267.0799865722656,261.8333435058594,263.9800109863281,263.9800109863281,42600900,0.8211528565575943,Up,1.7400267303360861,0.2006776348540657,Positive
2021-10-12,266.9766540527344,270.7733459472656,265.5233459472656,268.5733337402344,268.5733337402344,66060000,1.7400267303360861,Up,0.6652379022320076,0.3049447196981181,Positive
2021-10-13,270.1566772460937,271.8033447265625,268.59332275390625,270.3599853515625,270.3599853515625,42360300,0.6652379022320076,Up,0.8926471099504285,0.2154481404129116,Positive
2021-10-14,271.8299865722656,273.4166564941406,271.1166687011719,272.7733459472656,272.7733459472656,36741600,0.8926471099504285,Up,3.0195999501915205,0.2627884224753513,Positive
2021-10-15,274.5799865722656,281.07000732421875,274.1166687011719,281.010009765625,281.010009765625,56773800,3.0195999501915205,Up,3.212224493643445,0.3026546980713455,Positive
2021-10-18,283.92999267578125,291.7533264160156,283.8233337402344,290.03668212890625,290.03668212890625,72621600,3.212224493643445,Up,-0.6711860640270406,0.3791285821714917,Positive
2021-10-19,292.510009765625,292.6499938964844,287.5033264160156,288.0899963378906,288.0899963378906,52143300,-0.6711860640270406,Down,0.1770314041126264,0.1559020522981882,Positive
2021-10-20,288.45001220703125,289.8299865722656,285.7933349609375,288.6000061035156,288.6000061035156,42096300,0.1770314041126264,Up,3.257101073349511,0.2666073600793707,Positive
2021-10-21,285.3333435058594,300.0,285.1666564941406,298.0,298.0,94444500,3.257101073349511,Up,1.7539107559511269,0.2637224750386344,Positive
2021-10-22,298.5,303.3333435058594,296.9866638183594,303.2266540527344,303.2266540527344,68642400,1.7539107559511269,Up,12.661598362581984,0.4425193737010042,Positive
2021-10-25,316.84332275390625,348.3399963378906,314.7333374023437,341.6199951171875,341.6199951171875,188556300,12.661598362581984,Up,-0.6274050392506725,0.4115644268272243,Positive
2021-10-26,341.5633239746094,364.9800109863281,333.8133239746094,339.4766540527344,339.4766540527344,187245000,-0.6274050392506725,Down,1.9078438805710585,0.28263243870074,Positive
2021-10-27,346.5533447265625,356.9599914550781,343.59332275390625,345.9533386230469,345.9533386230469,115579500,1.9078438805710585,Up,3.775074872979922,0.2225242363194287,Positive
